timestamp,price,sma,vol,signal
1779093720000,76882.60000000,,,
1779093780000,76887.30000000,,,
1779093840000,76871.40000000,,,
1779093900000,76900.00000000,,,
1779093960000,76893.00000000,76886.86000000,9.67173201,Hold
1779094020000,76893.90000000,76889.12000000,9.73229675,Hold
1779094080000,76858.00000000,76883.26000000,15.91874367,Sell
1779094140000,76839.10000000,76876.80000000,23.94919623,Sell
1779094200000,76881.50000000,76873.10000000,21.36923022,Hold
1779094260000,76899.40000000,76874.38000000,22.67469074,Buy
1779094320000,76885.70000000,76872.74000000,21.46798547,Hold
1779094380000,76901.10000000,76881.36000000,22.44937416,Hold
1779094440000,76943.50000000,76902.24000000,21.97940855,Buy
1779094500000,76941.10000000,76914.16000000,23.60081355,Buy
1779094560000,76920.50000000,76918.38000000,22.44231717,Hold
1779094620000,76916.70000000,76924.58000000,15.88035264,Hold
1779094680000,76916.70000000,76927.70000000,12.02530665,Hold
1779094740000,76956.20000000,76930.24000000,15.83282666,Buy
1779094800000,76958.40000000,76933.70000000,19.33173557,Buy
1779094860000,76964.90000000,76942.58000000,21.32373326,Buy
1779094920000,76902.80000000,76939.80000000,25.08999801,Sell
1779094980000,76918.40000000,76940.14000000,24.78431762,Hold
1779095040000,76860.40000000,76920.98000000,38.30490308,Sell
1779095100000,76862.90000000,76901.88000000,38.69188029,Sell
1779095160000,76855.10000000,76879.92000000,25.65520610,Hold
1779095220000,76854.70000000,76870.30000000,24.25192776,Hold
1779095280000,76866.50000000,76859.92000000,4.53625396,Buy
1779095340000,76860.40000000,76859.92000000,4.53625396,Hold
1779095400000,76822.70000000,76851.88000000,15.20610404,Sell
1779095460000,76809.20000000,76842.70000000,22.56537170,Sell
1779095520000,76844.00000000,76840.56000000,21.82096240,Hold
1779095580000,76832.70000000,76833.80000000,17.55665116,Hold
1779095640000,76820.10000000,76825.74000000,11.80247432,Hold
1779095700000,76850.70000000,76831.34000000,15.18849565,Buy
1779095760000,76884.00000000,76846.30000000,21.52830695,Buy
