timestamp,signal,price,quantity,cash_after,position_after,commission
1779119160000,Buy,76286.80000000,0.12976033,0.52568974,0.12976033,0.00000000
1779119340000,Sell,76240.00000000,0.12976033,9893.45290651,0.00000000,0.00000000
1779119580000,Buy,76305.90000000,0.12964921,0.45290651,0.12964921,0.00000000
1779120000000,Sell,76246.60000000,0.12964921,9885.76470809,0.00000000,0.00000000
1779120600000,Buy,76324.00000000,0.12951365,0.76470809,0.12951365,0.00000000
1779121320000,Sell,76413.90000000,0.12951365,9897.40798543,0.00000000,0.00000000
1779121860000,Buy,76256.40000000,0.12978583,0.40798543,0.12978583,0.00000000
1779122340000,Sell,76344.80000000,0.12978583,9908.88105261,0.00000000,0.00000000
1779122700000,Buy,76418.50000000,0.12965447,0.88105261,0.12965447,0.00000000
1779122760000,Sell,76335.00000000,0.12965447,9898.05490449,0.00000000,0.00000000
1779122820000,Buy,76446.20000000,0.12947668,0.05490449,0.12947668,0.00000000
1779123420000,Sell,76335.50000000,0.12947668,9883.72183627,0.00000000,0.00000000
